Date,token,price
2021-12-12,BTC-USD,50098.33594
2021-12-13,BTC-USD,46737.48047
2021-12-14,BTC-USD,46612.63281
2021-12-15,BTC-USD,48896.72266
2021-12-16,BTC-USD,47665.42578
2021-12-17,BTC-USD,46202.14453
2021-12-18,BTC-USD,46848.77734
2021-12-19,BTC-USD,46707.01563
2021-12-20,BTC-USD,46880.27734
2021-12-21,BTC-USD,48936.61328
2021-12-22,BTC-USD,48628.51172
2021-12-23,BTC-USD,50784.53906
2021-12-24,BTC-USD,50822.19531
2021-12-25,BTC-USD,50429.85938
2021-12-26,BTC-USD,50809.51563
2021-12-27,BTC-USD,50640.41797
2021-12-28,BTC-USD,47588.85547
2021-12-29,BTC-USD,46444.71094
2021-12-30,BTC-USD,47178.125
2021-12-31,BTC-USD,46306.44531
2022-01-01,BTC-USD,47686.8125
2022-01-02,BTC-USD,47345.21875
2022-01-03,BTC-USD,46458.11719
2022-01-04,BTC-USD,45897.57422
2022-01-05,BTC-USD,43569.00391
2022-01-06,BTC-USD,43160.92969
2022-01-07,BTC-USD,41557.90234
2022-01-08,BTC-USD,41733.94141
2022-01-09,BTC-USD,41911.60156
2022-01-10,BTC-USD,41821.26172
2022-01-11,BTC-USD,42735.85547
2022-01-12,BTC-USD,43949.10156
2022-01-13,BTC-USD,42591.57031
2022-01-14,BTC-USD,43099.69922
2022-01-15,BTC-USD,43177.39844
2022-01-16,BTC-USD,43113.87891
2022-01-17,BTC-USD,42250.55078
2022-01-18,BTC-USD,42375.63281
2022-01-19,BTC-USD,41744.32813
2022-01-20,BTC-USD,40680.41797
2022-01-21,BTC-USD,36457.31641
2022-01-22,BTC-USD,35030.25
2022-01-23,BTC-USD,36276.80469
2022-01-24,BTC-USD,36654.32813
2022-01-25,BTC-USD,36954.00391
2022-01-26,BTC-USD,36852.12109
2022-01-27,BTC-USD,37138.23438
2022-01-28,BTC-USD,37784.33203
2022-01-29,BTC-USD,38138.17969
2022-01-30,BTC-USD,37917.60156
2022-01-31,BTC-USD,38483.125
2022-02-01,BTC-USD,38743.27344
2022-02-02,BTC-USD,36952.98438
2022-02-03,BTC-USD,37154.60156
2022-02-04,BTC-USD,41500.875
2022-02-05,BTC-USD,41441.16406
2022-02-06,BTC-USD,42412.43359
2022-02-07,BTC-USD,43840.28516
2022-02-08,BTC-USD,44118.44531
2022-02-09,BTC-USD,44338.79688
2022-02-10,BTC-USD,43565.11328
2022-02-11,BTC-USD,42407.9375
2022-02-12,BTC-USD,42244.46875
2022-02-13,BTC-USD,42197.51563
2022-02-14,BTC-USD,42586.91797
2022-02-15,BTC-USD,44575.20313
2022-02-16,BTC-USD,43961.85938
2022-02-17,BTC-USD,40538.01172
2022-02-18,BTC-USD,40030.97656
2022-02-19,BTC-USD,40122.15625
2022-02-20,BTC-USD,38431.37891
2022-02-21,BTC-USD,37075.28125
2022-02-22,BTC-USD,38286.02734
2022-02-23,BTC-USD,37296.57031
2022-02-24,BTC-USD,38332.60938
2022-02-25,BTC-USD,39214.21875
2022-02-26,BTC-USD,39105.14844
2022-02-27,BTC-USD,37709.78516
2022-02-28,BTC-USD,43193.23438
2022-03-01,BTC-USD,44354.63672
2022-03-02,BTC-USD,43924.11719
2022-03-03,BTC-USD,42451.78906
2022-03-04,BTC-USD,39137.60547
2022-03-05,BTC-USD,39400.58594
2022-03-06,BTC-USD,38419.98438
2022-03-07,BTC-USD,38062.03906
2022-03-08,BTC-USD,38737.26953
2022-03-09,BTC-USD,41982.92578
2022-03-10,BTC-USD,39437.46094
2022-03-11,BTC-USD,38794.97266
2022-03-12,BTC-USD,38904.01172
2022-03-13,BTC-USD,37849.66406
2022-03-14,BTC-USD,39666.75391
2022-03-15,BTC-USD,39338.78516
2022-03-16,BTC-USD,41143.92969
2022-03-17,BTC-USD,40951.37891
2022-03-18,BTC-USD,41801.15625
2022-03-19,BTC-USD,42190.65234
2022-03-20,BTC-USD,41247.82422
2022-03-21,BTC-USD,41077.99609
2022-03-22,BTC-USD,42358.80859
2022-03-23,BTC-USD,42892.95703
2022-03-24,BTC-USD,43960.93359
2022-03-25,BTC-USD,44348.73047
2022-03-26,BTC-USD,44500.82813
2022-03-27,BTC-USD,46820.49219
2022-03-28,BTC-USD,47128.00391
2022-03-29,BTC-USD,47465.73047
2022-03-30,BTC-USD,47062.66406
2022-03-31,BTC-USD,45538.67578
2022-04-01,BTC-USD,46281.64453
2022-04-02,BTC-USD,45868.94922
2022-04-03,BTC-USD,46453.56641
2022-04-04,BTC-USD,46622.67578
2022-04-05,BTC-USD,45555.99219
2022-04-06,BTC-USD,43206.73828
2022-04-07,BTC-USD,43503.84766
2022-04-08,BTC-USD,42287.66406
2022-04-09,BTC-USD,42782.13672
2022-04-10,BTC-USD,42207.67188
2022-04-11,BTC-USD,39521.90234
2022-04-12,BTC-USD,40127.18359
2022-04-13,BTC-USD,41166.73047
2022-04-14,BTC-USD,39935.51563
2022-04-15,BTC-USD,40553.46484
2022-04-16,BTC-USD,40424.48438
2022-04-17,BTC-USD,39716.95313
2022-04-18,BTC-USD,40826.21484
2022-04-19,BTC-USD,41502.75
2022-04-20,BTC-USD,41374.37891
2022-04-21,BTC-USD,40527.36328
2022-04-22,BTC-USD,39740.32031
2022-04-23,BTC-USD,39486.73047
2022-04-24,BTC-USD,39469.29297
2022-04-25,BTC-USD,40458.30859
2022-04-26,BTC-USD,38117.46094
2022-04-27,BTC-USD,39241.12109
2022-04-28,BTC-USD,39773.82813
2022-04-29,BTC-USD,38609.82422
2022-04-30,BTC-USD,37714.875
2022-05-01,BTC-USD,38469.09375
2022-05-02,BTC-USD,38529.32813
2022-05-03,BTC-USD,37750.45313
2022-05-04,BTC-USD,39698.37109
2022-05-05,BTC-USD,36575.14063
2022-05-06,BTC-USD,36040.92188
2022-05-07,BTC-USD,35501.95313
2022-05-08,BTC-USD,34059.26563
2022-05-09,BTC-USD,30296.95313
2022-05-10,BTC-USD,31022.90625
2022-05-11,BTC-USD,28936.35547
2022-05-12,BTC-USD,29047.75195
2022-05-13,BTC-USD,29283.10352
2022-05-14,BTC-USD,30101.26563
2022-05-15,BTC-USD,31305.11328
2022-05-16,BTC-USD,29862.91797
2022-05-17,BTC-USD,30425.85742
2022-05-18,BTC-USD,28720.27148
2022-05-19,BTC-USD,30314.33398
2022-05-20,BTC-USD,29200.74023
2022-05-21,BTC-USD,29432.22656
2022-05-22,BTC-USD,30323.72266
2022-05-23,BTC-USD,29098.91016
2022-05-24,BTC-USD,29655.58594
2022-05-25,BTC-USD,29562.36133
2022-05-26,BTC-USD,29267.22461
2022-05-27,BTC-USD,28627.57422
2022-05-28,BTC-USD,28814.90039
2022-05-29,BTC-USD,29445.95703
2022-05-30,BTC-USD,31726.39063
2022-05-31,BTC-USD,31792.31055
2022-06-01,BTC-USD,29799.08008
2022-06-02,BTC-USD,30467.48828
2022-06-03,BTC-USD,29704.39063
2022-06-04,BTC-USD,29832.91406
2022-06-05,BTC-USD,29906.66211
2022-06-06,BTC-USD,31370.67188
2022-06-07,BTC-USD,31155.47852
2022-06-08,BTC-USD,30214.35547
2022-06-09,BTC-USD,30111.99805
2022-06-10,BTC-USD,29083.80469
2022-06-11,BTC-USD,28360.81055
2022-06-12,BTC-USD,26762.64844
2022-06-13,BTC-USD,22487.38867
2022-06-14,BTC-USD,22206.79297
2022-06-15,BTC-USD,22572.83984
2022-06-16,BTC-USD,20381.65039
2022-06-17,BTC-USD,20471.48242
2022-06-18,BTC-USD,19017.64258
2022-06-19,BTC-USD,20553.27148
2022-06-20,BTC-USD,20599.53711
2022-06-21,BTC-USD,20710.59766
2022-06-22,BTC-USD,19987.0293
2022-06-23,BTC-USD,21085.87695
2022-06-24,BTC-USD,21231.65625
2022-06-25,BTC-USD,21502.33789
2022-06-26,BTC-USD,21027.29492
2022-06-27,BTC-USD,20735.47852
2022-06-28,BTC-USD,20280.63477
2022-06-29,BTC-USD,20104.02344
2022-06-30,BTC-USD,19784.72656
2022-07-01,BTC-USD,19269.36719
2022-07-02,BTC-USD,19242.25586
2022-07-03,BTC-USD,19297.07617
2022-07-04,BTC-USD,20231.26172
2022-07-05,BTC-USD,20190.11523
2022-07-06,BTC-USD,20548.24609
2022-07-07,BTC-USD,21637.58789
2022-07-08,BTC-USD,21731.11719
2022-07-09,BTC-USD,21592.20703
2022-07-10,BTC-USD,20860.44922
2022-07-11,BTC-USD,19970.55664
2022-07-12,BTC-USD,19323.91406
2022-07-13,BTC-USD,20212.07422
2022-07-14,BTC-USD,20569.91992
2022-07-15,BTC-USD,20836.32813
2022-07-16,BTC-USD,21190.31641
2022-07-17,BTC-USD,20779.34375
2022-07-18,BTC-USD,22485.68945
2022-07-19,BTC-USD,23389.43359
2022-07-20,BTC-USD,23231.73242
2022-07-21,BTC-USD,23164.62891
2022-07-22,BTC-USD,22714.97852
2022-07-23,BTC-USD,22465.47852
2022-07-24,BTC-USD,22609.16406
2022-07-25,BTC-USD,21361.70117
2022-07-26,BTC-USD,21239.75391
2022-07-27,BTC-USD,22930.54883
2022-07-28,BTC-USD,23843.88672
2022-07-29,BTC-USD,23804.63281
2022-07-30,BTC-USD,23656.20703
2022-07-31,BTC-USD,23336.89648
2022-08-01,BTC-USD,23314.19922
2022-08-02,BTC-USD,22978.11719
2022-08-03,BTC-USD,22846.50781
2022-08-04,BTC-USD,22630.95703
2022-08-05,BTC-USD,23289.31445
2022-08-06,BTC-USD,22961.2793
2022-08-07,BTC-USD,23175.89063
2022-08-08,BTC-USD,23809.48633
2022-08-09,BTC-USD,23164.31836
2022-08-10,BTC-USD,23947.64258
2022-08-11,BTC-USD,23957.5293
2022-08-12,BTC-USD,24402.81836
2022-08-13,BTC-USD,24424.06836
2022-08-14,BTC-USD,24319.33398
2022-08-15,BTC-USD,24136.97266
2022-08-16,BTC-USD,23883.29102
2022-08-17,BTC-USD,23335.99805
2022-08-18,BTC-USD,23212.73828
2022-08-19,BTC-USD,20877.55273
2022-08-20,BTC-USD,21166.06055
2022-08-21,BTC-USD,21534.12109
2022-08-22,BTC-USD,21398.9082
2022-08-23,BTC-USD,21528.08789
2022-08-24,BTC-USD,21395.01953
2022-08-25,BTC-USD,21600.9043
2022-08-26,BTC-USD,20260.01953
2022-08-27,BTC-USD,20041.73828
2022-08-28,BTC-USD,19616.81445
2022-08-29,BTC-USD,20297.99414
2022-08-30,BTC-USD,19796.80859
2022-08-31,BTC-USD,20049.76367
2022-09-01,BTC-USD,20127.14063
2022-09-02,BTC-USD,19969.77148
2022-09-03,BTC-USD,19832.08789
2022-09-04,BTC-USD,19986.71289
2022-09-05,BTC-USD,19812.37109
2022-09-06,BTC-USD,18837.66797
2022-09-07,BTC-USD,19290.32422
2022-09-08,BTC-USD,19329.83398
2022-09-09,BTC-USD,21381.15234
2022-09-10,BTC-USD,21680.53906
2022-09-11,BTC-USD,21769.25586
2022-09-12,BTC-USD,22370.44922
2022-09-13,BTC-USD,20296.70703
2022-09-14,BTC-USD,20241.08984
2022-09-15,BTC-USD,19701.21094
2022-09-16,BTC-USD,19772.58398
2022-09-17,BTC-USD,20127.57617
2022-09-18,BTC-USD,19419.50586
2022-09-19,BTC-USD,19544.12891
2022-09-20,BTC-USD,18890.78906
2022-09-21,BTC-USD,18547.40039
2022-09-22,BTC-USD,19413.55078
2022-09-23,BTC-USD,19297.63867
2022-09-24,BTC-USD,18937.01172
2022-09-25,BTC-USD,18802.09766
2022-09-26,BTC-USD,19222.67188
2022-09-27,BTC-USD,19110.54688
2022-09-28,BTC-USD,19426.7207
2022-09-29,BTC-USD,19573.05078
2022-09-30,BTC-USD,19431.78906
2022-10-01,BTC-USD,19312.0957
2022-10-02,BTC-USD,19044.10742
2022-10-03,BTC-USD,19623.58008
2022-10-04,BTC-USD,20336.84375
2022-10-05,BTC-USD,20160.7168
2022-10-06,BTC-USD,19955.44336
2022-10-07,BTC-USD,19546.84961
2022-10-08,BTC-USD,19416.56836
2022-10-09,BTC-USD,19446.42578
2022-10-10,BTC-USD,19141.48438
2022-10-11,BTC-USD,19051.41797
2022-10-12,BTC-USD,19157.44531
2022-10-13,BTC-USD,19382.9043
2022-10-14,BTC-USD,19185.65625
2022-10-15,BTC-USD,19067.63477
2022-10-16,BTC-USD,19268.09375
2022-10-17,BTC-USD,19550.75781
2022-10-18,BTC-USD,19334.41602
2022-10-19,BTC-USD,19139.53516
2022-10-20,BTC-USD,19053.74023
2022-10-21,BTC-USD,19172.46875
2022-10-22,BTC-USD,19208.18945
2022-10-23,BTC-USD,19567.00781
2022-10-24,BTC-USD,19345.57227
2022-10-25,BTC-USD,20095.85742
2022-10-26,BTC-USD,20770.44141
2022-10-27,BTC-USD,20285.83594
2022-10-28,BTC-USD,20595.35156
2022-10-29,BTC-USD,20818.47656
2022-10-30,BTC-USD,20635.60352
2022-10-31,BTC-USD,20495.77344
2022-11-01,BTC-USD,20485.27344
2022-11-02,BTC-USD,20159.50391
2022-11-03,BTC-USD,20209.98828
2022-11-04,BTC-USD,21147.23047
2022-11-05,BTC-USD,21282.69141
2022-11-06,BTC-USD,20926.48633
2022-11-07,BTC-USD,20602.81641
2022-11-08,BTC-USD,18541.27148
2022-11-09,BTC-USD,15880.78027
2022-11-10,BTC-USD,17586.77148
2022-11-11,BTC-USD,17034.29297
2022-11-12,BTC-USD,16799.18555
2022-11-13,BTC-USD,16353.36523
2022-11-14,BTC-USD,16618.19922
2022-11-15,BTC-USD,16884.61328
2022-11-16,BTC-USD,16669.43945
2022-11-17,BTC-USD,16687.51758
2022-11-18,BTC-USD,16697.77734
2022-11-19,BTC-USD,16711.54688
2022-11-20,BTC-USD,16291.83203
2022-11-21,BTC-USD,15787.28418
2022-11-22,BTC-USD,16189.76953
2022-11-23,BTC-USD,16610.70703
2022-11-24,BTC-USD,16604.46484
2022-11-25,BTC-USD,16521.8418
2022-11-26,BTC-USD,16464.28125
2022-11-27,BTC-USD,16444.62695
2022-11-28,BTC-USD,16217.32227
2022-11-29,BTC-USD,16444.98242
2022-11-30,BTC-USD,17168.56641
2022-12-01,BTC-USD,16967.13281
2022-12-02,BTC-USD,17088.66016
2022-12-03,BTC-USD,16908.23633
2022-12-04,BTC-USD,17130.48633
2022-12-05,BTC-USD,16974.82617
2022-12-06,BTC-USD,17089.50391
2022-12-07,BTC-USD,16848.12695
2022-12-08,BTC-USD,17233.47461
2022-12-09,BTC-USD,17133.15234
2022-12-10,BTC-USD,17128.72461
2022-12-11,BTC-USD,17104.19336
2022-12-12,BTC-USD,16987.66602
2021-12-12,ETH-USD,4134.453125
2021-12-13,ETH-USD,3784.226807
2021-12-14,ETH-USD,3745.44043
2021-12-15,ETH-USD,4018.388672
2021-12-16,ETH-USD,3962.469727
2021-12-17,ETH-USD,3879.486572
2021-12-18,ETH-USD,3960.860107
2021-12-19,ETH-USD,3922.592529
2021-12-20,ETH-USD,3933.844482
2021-12-21,ETH-USD,4020.26001
2021-12-22,ETH-USD,3982.099609
2021-12-23,ETH-USD,4108.015625
2021-12-24,ETH-USD,4047.98291
2021-12-25,ETH-USD,4093.281006
2021-12-26,ETH-USD,4067.328125
2021-12-27,ETH-USD,4037.547607
2021-12-28,ETH-USD,3800.893066
2021-12-29,ETH-USD,3628.531738
2021-12-30,ETH-USD,3713.852051
2021-12-31,ETH-USD,3682.632813
2022-01-01,ETH-USD,3769.697021
2022-01-02,ETH-USD,3829.564941
2022-01-03,ETH-USD,3761.380371
2022-01-04,ETH-USD,3794.056641
2022-01-05,ETH-USD,3550.386963
2022-01-06,ETH-USD,3418.408203
2022-01-07,ETH-USD,3193.210449
2022-01-08,ETH-USD,3091.972656
2022-01-09,ETH-USD,3157.751465
2022-01-10,ETH-USD,3083.0979
2022-01-11,ETH-USD,3238.111572
2022-01-12,ETH-USD,3372.258301
2022-01-13,ETH-USD,3248.288574
2022-01-14,ETH-USD,3310.001465
2022-01-15,ETH-USD,3330.530762
2022-01-16,ETH-USD,3350.921875
2022-01-17,ETH-USD,3212.304932
2022-01-18,ETH-USD,3164.025146
2022-01-19,ETH-USD,3095.825928
2022-01-20,ETH-USD,3001.120117
2022-01-21,ETH-USD,2557.931641
2022-01-22,ETH-USD,2405.181152
2022-01-23,ETH-USD,2535.039063
2022-01-24,ETH-USD,2440.352295
2022-01-25,ETH-USD,2455.935059
2022-01-26,ETH-USD,2468.030273
2022-01-27,ETH-USD,2423.001221
2022-01-28,ETH-USD,2547.092041
2022-01-29,ETH-USD,2597.084717
2022-01-30,ETH-USD,2603.466553
2022-01-31,ETH-USD,2688.278809
2022-02-01,ETH-USD,2792.117188
2022-02-02,ETH-USD,2682.854004
2022-02-03,ETH-USD,2679.162598
2022-02-04,ETH-USD,2983.586914
2022-02-05,ETH-USD,3014.648193
2022-02-06,ETH-USD,3057.476074
2022-02-07,ETH-USD,3142.470703
2022-02-08,ETH-USD,3122.608643
2022-02-09,ETH-USD,3239.457031
2022-02-10,ETH-USD,3077.482178
2022-02-11,ETH-USD,2927.383545
2022-02-12,ETH-USD,2917.362793
2022-02-13,ETH-USD,2883.463379
2022-02-14,ETH-USD,2933.479004
2022-02-15,ETH-USD,3179.877197
2022-02-16,ETH-USD,3127.830078
2022-02-17,ETH-USD,2881.481934
2022-02-18,ETH-USD,2785.727539
2022-02-19,ETH-USD,2763.701172
2022-02-20,ETH-USD,2628.648438
2022-02-21,ETH-USD,2573.816162
2022-02-22,ETH-USD,2639.299316
2022-02-23,ETH-USD,2590.359619
2022-02-24,ETH-USD,2598.067139
2022-02-25,ETH-USD,2764.535645
2022-02-26,ETH-USD,2781.111816
2022-02-27,ETH-USD,2621.801758
2022-02-28,ETH-USD,2919.201172
2022-03-01,ETH-USD,2972.485107
2022-03-02,ETH-USD,2950.118408
2022-03-03,ETH-USD,2834.468994
2022-03-04,ETH-USD,2617.156006
2022-03-05,ETH-USD,2664.831055
2022-03-06,ETH-USD,2555.037354
2022-03-07,ETH-USD,2497.77124
2022-03-08,ETH-USD,2576.747559
2022-03-09,ETH-USD,2729.783447
2022-03-10,ETH-USD,2608.048584
2022-03-11,ETH-USD,2559.562988
2022-03-12,ETH-USD,2574.75415
2022-03-13,ETH-USD,2518.94458
2022-03-14,ETH-USD,2590.696045
2022-03-15,ETH-USD,2620.149658
2022-03-16,ETH-USD,2772.055664
2022-03-17,ETH-USD,2814.854492
2022-03-18,ETH-USD,2945.343018
2022-03-19,ETH-USD,2946.25708
2022-03-20,ETH-USD,2860.459229
2022-03-21,ETH-USD,2897.976563
2022-03-22,ETH-USD,2973.131104
2022-03-23,ETH-USD,3031.067139
2022-03-24,ETH-USD,3108.062012
2022-03-25,ETH-USD,3106.671387
2022-03-26,ETH-USD,3143.178955
2022-03-27,ETH-USD,3291.577637
2022-03-28,ETH-USD,3336.634521
2022-03-29,ETH-USD,3401.987793
2022-03-30,ETH-USD,3385.157959
2022-03-31,ETH-USD,3281.642822
2022-04-01,ETH-USD,3449.552246
2022-04-02,ETH-USD,3445.059326
2022-04-03,ETH-USD,3522.833496
2022-04-04,ETH-USD,3521.241211
2022-04-05,ETH-USD,3411.79248
2022-04-06,ETH-USD,3171.691895
2022-04-07,ETH-USD,3233.274658
2022-04-08,ETH-USD,3192.073975
2022-04-09,ETH-USD,3261.91626
2022-04-10,ETH-USD,3211.866943
2022-04-11,ETH-USD,2981.052246
